ID,probability
TEST_00000,0.002141485911311442
TEST_00001,0.0032567981123036442
TEST_00002,0.25326717675105537
TEST_00003,0.18481382896062326
TEST_00004,0.6531568905761598
TEST_00005,0.22922977794508642
TEST_00006,0.5852463063147464
TEST_00007,0.48888593458834556
TEST_00008,0.4253795931624853
TEST_00009,0.001808481504120551
TEST_00010,0.08773485227153473
TEST_00011,0.6022153082852084
TEST_00012,0.5127373351586034
TEST_00013,0.5449939581833143
TEST_00014,0.4304406968335295
TEST_00015,0.0023911917458887995
TEST_00016,0.35857411034925607
TEST_00017,0.5077366749695044
TEST_00018,0.3292078847354618
TEST_00019,0.714031064496544
TEST_00020,0.38314842848115793
TEST_00021,0.5322101625849882
TEST_00022,0.4281058382087085
TEST_00023,0.33092581970996304
TEST_00024,0.5571802102423133
TEST_00025,0.001685913024620956
TEST_00026,0.18154578208970099
TEST_00027,0.5815725674796006
TEST_00028,0.29969830007763554
TEST_00029,0.30128439369713067
TEST_00030,0.5814210613053992
TEST_00031,0.30470328593982987
TEST_00032,0.2619673896350987
TEST_00033,0.2752323328486381
TEST_00034,0.5293053518975323
TEST_00035,0.002206465680670375
TEST_00036,0.2178412040563745
TEST_00037,0.46054331156367057
TEST_00038,0.2873188703525951
TEST_00039,0.003795520857737906
TEST_00040,0.2993388412689713
TEST_00041,0.25474424952687924
TEST_00042,0.4514039773850071
TEST_00043,0.43952450831406054
TEST_00044,0.4549936937314938
TEST_00045,0.6388967472475381
TEST_00046,0.661661291299968
TEST_00047,0.3753869085588014
TEST_00048,0.21018834126003305
TEST_00049,0.5367819000300382
TEST_00050,0.3971463734598215
TEST_00051,0.47213742042421025
TEST_00052,0.21324455870529926
TEST_00053,0.7023064747797538
TEST_00054,0.0014157610453003453
TEST_00055,0.5738607273419893
TEST_00056,0.4779031270669264
TEST_00057,0.33515201224954605
TEST_00058,0.6563027833794057
TEST_00059,0.32684888960458447
TEST_00060,0.0034418951473070927
TEST_00061,0.27008601544166394
TEST_00062,0.4837557884930302
TEST_00063,0.4737390899081835
TEST_00064,0.3236743911768791
TEST_00065,0.001600883005628062
TEST_00066,0.40866801687729437
TEST_00067,0.31494542838980943
TEST_00068,0.44196590527683627
TEST_00069,0.6134486757697855
TEST_00070,0.5186094038272027
TEST_00071,0.5068288987173727
TEST_00072,0.35774774242096774
TEST_00073,0.4306340252163976
TEST_00074,0.24508441110621232
TEST_00075,0.3875386425137272
TEST_00076,0.013698189751622496
TEST_00077,0.0014873851468658894
TEST_00078,0.22584484264634502
TEST_00079,0.35957142267196424
TEST_00080,0.500484787958259
TEST_00081,0.0008369551633178366
TEST_00082,0.3422483501780999
TEST_00083,0.3316244080291556
TEST_00084,0.5752133632970546
TEST_00085,0.5279793246159193
TEST_00086,0.001558637677266971
TEST_00087,0.5311889789206468
TEST_00088,0.06224733963868777
TEST_00089,0.5239340592504562
TEST_00090,0.37342006051250914
TEST_00091,0.18436642743491033
TEST_00092,0.5033449100564338
TEST_00093,0.6637062227206365
TEST_00094,0.0009627284162494665
TEST_00095,0.0018072772619621915
TEST_00096,0.5919638563805343
TEST_00097,0.19793183608726045
TEST_00098,0.5191669163741364
TEST_00099,0.43135001731707223
TEST_00100,0.05530049554470605
TEST_00101,0.3085850260348105
TEST_00102,0.5275099179004414
TEST_00103,0.42681408434949575
TEST_00104,0.5041399616114729
TEST_00105,0.6081280568068951
TEST_00106,0.43139757075519947
TEST_00107,0.0027762200003536904
TEST_00108,0.46829070023730635
TEST_00109,0.001736379093463247
TEST_00110,0.5720449234900737
TEST_00111,0.42899021702051565
TEST_00112,0.025738970185372852
TEST_00113,0.5185252659117399
TEST_00114,0.27021188597654866
TEST_00115,0.547227890525233
TEST_00116,0.003291777243607048
TEST_00117,0.582899702074475
TEST_00118,0.480381010104384
TEST_00119,0.24689379953642615
TEST_00120,0.0015848494005239306
TEST_00121,0.0021595618737017437
TEST_00122,0.45693486923966986
TEST_00123,0.6473394726211111
TEST_00124,0.5493181294579509
TEST_00125,0.42348962203815627
TEST_00126,0.003573256903004864
TEST_00127,0.1218193765679847
TEST_00128,0.4159406737202827
TEST_00129,0.5430896271423366
TEST_00130,0.35448581337479657
TEST_00131,0.5345363922260398
TEST_00132,0.0016872594254135045
TEST_00133,0.3897308018222905
TEST_00134,0.5272209791619198
TEST_00135,0.001645632126756896
TEST_00136,0.3064715246299843
TEST_00137,0.3253616422708223
TEST_00138,0.15629121467165963
TEST_00139,0.391563543577518
TEST_00140,0.02416682635265672
TEST_00141,0.0013941599471617035
TEST_00142,0.440434424229357
TEST_00143,0.002924769955981287
TEST_00144,0.23845406017676535
TEST_00145,0.660133841669023
TEST_00146,0.1298806320770053
TEST_00147,0.3512082312463577
TEST_00148,0.3495185109655832
TEST_00149,0.5704069690596043
TEST_00150,0.0025176658913187364
TEST_00151,0.0009789222319888655
TEST_00152,0.5494696753854095
TEST_00153,0.4319815201563325
TEST_00154,0.04083677016357391
TEST_00155,0.3554991595076034
TEST_00156,0.5006281819310872
TEST_00157,0.5180886613641227
TEST_00158,0.565785706076949
TEST_00159,0.4782044054879913
TEST_00160,0.566199682525218
TEST_00161,0.6227784947873403
TEST_00162,0.4916826953448113
TEST_00163,0.007015234691809797
TEST_00164,0.6648191804353806
TEST_00165,0.34836786223694305
TEST_00166,0.49189173075669185
TEST_00167,0.32588913534947983
TEST_00168,0.5274924414095157
TEST_00169,0.27756360135334923
TEST_00170,0.33872600283287885
TEST_00171,0.4046901859837136
TEST_00172,0.37954720315303414
TEST_00173,0.40338161761054125
TEST_00174,0.2330744733232862
TEST_00175,0.42212773154321537
TEST_00176,0.553347386384726
TEST_00177,0.3179782437608461
TEST_00178,0.5359685915476926
TEST_00179,0.46516891065818644
TEST_00180,0.5034631681299373
TEST_00181,0.5967826780183039
TEST_00182,0.2609606073967614
TEST_00183,0.7090917066099685
TEST_00184,0.22248485248572042
TEST_00185,0.33370358716684045
TEST_00186,0.4859074548070701
TEST_00187,0.39259087008090165
TEST_00188,0.45509875546392664
TEST_00189,0.4139591459877671
TEST_00190,0.5834260705594309
TEST_00191,0.3623093963766547
TEST_00192,0.41885016099905226
TEST_00193,0.11821784401679009
TEST_00194,0.7451610291940168
TEST_00195,0.5461001950655449
TEST_00196,0.5894077213926769
TEST_00197,0.39836193937374353
TEST_00198,0.40829040645677106
TEST_00199,0.47471165866931697
TEST_00200,0.5302449310412823
TEST_00201,0.5968976995317576
TEST_00202,0.4092987161028788
TEST_00203,0.44771693077413155
TEST_00204,0.0018220776633632902
TEST_00205,0.09964278186796958
TEST_00206,0.0022557496602683123
TEST_00207,0.41532473957283844
TEST_00208,0.35421295787838786
TEST_00209,0.42759085198519964
