ID,probability
TEST_00000,0.002615885786959894
TEST_00001,0.003703492178296659
TEST_00002,0.1484315421623126
TEST_00003,0.1001572807051576
TEST_00004,0.5147943720671249
TEST_00005,0.13521479878463905
TEST_00006,0.465956481187836
TEST_00007,0.3824760940424367
TEST_00008,0.29067390390221404
TEST_00009,0.001021952637567248
TEST_00010,0.05226712250947531
TEST_00011,0.48110812018185567
TEST_00012,0.3834822009578215
TEST_00013,0.404841041894651
TEST_00014,0.32406927561910837
TEST_00015,0.0033074048808653866
TEST_00016,0.25294103218499153
TEST_00017,0.3860763881005645
TEST_00018,0.21740792222092878
TEST_00019,0.6345965162511934
TEST_00020,0.261580461524815
TEST_00021,0.38652185704948855
TEST_00022,0.27154344664749375
TEST_00023,0.21805000041109973
TEST_00024,0.3995039173663347
TEST_00025,0.0012148571691764677
TEST_00026,0.09541459950675688
TEST_00027,0.4657047708527437
TEST_00028,0.1772217125661609
TEST_00029,0.18634718260732608
TEST_00030,0.445872661990142
TEST_00031,0.1713899385270613
TEST_00032,0.1782475468238709
TEST_00033,0.1684142171570359
TEST_00034,0.39563424923463697
TEST_00035,0.0024794928977500954
TEST_00036,0.12288198545874447
TEST_00037,0.341075574222804
TEST_00038,0.2275328394549791
TEST_00039,0.00418694955266437
TEST_00040,0.19612929779980165
TEST_00041,0.1603349628227579
TEST_00042,0.30386833945903763
TEST_00043,0.3021133069535106
TEST_00044,0.3068735720226258
TEST_00045,0.5441193181288349
TEST_00046,0.5156505810835387
TEST_00047,0.21250693591144687
TEST_00048,0.14126082281032987
TEST_00049,0.3924508255056442
TEST_00050,0.2304115186333687
TEST_00051,0.19737476041552268
TEST_00052,0.11344279298953336
TEST_00053,0.5718384144493993
TEST_00054,0.0016205918380854528
TEST_00055,0.4233701600923384
TEST_00056,0.2971571958169556
TEST_00057,0.21874415338996325
TEST_00058,0.4978999401173819
TEST_00059,0.20359202411483693
TEST_00060,0.003306064239150021
TEST_00061,0.17547062025833576
TEST_00062,0.3332152825540985
TEST_00063,0.3353650950980528
TEST_00064,0.2201982326709183
TEST_00065,0.0024814535459533175
TEST_00066,0.2758670343661376
TEST_00067,0.22486017831355376
TEST_00068,0.2869055904553276
TEST_00069,0.47405976317232695
TEST_00070,0.40662602283665966
TEST_00071,0.3146551765529766
TEST_00072,0.2315232211733342
TEST_00073,0.2485894175791918
TEST_00074,0.15061514023177064
TEST_00075,0.23332522554007887
TEST_00076,0.029245251859403087
TEST_00077,0.00421303901310419
TEST_00078,0.12927914643754912
TEST_00079,0.1958883673691999
TEST_00080,0.33833136191154145
TEST_00081,0.0009157320538052539
TEST_00082,0.21636163184443608
TEST_00083,0.18525947131631207
TEST_00084,0.42816962105732115
TEST_00085,0.3781928656239542
TEST_00086,0.0008939719820280788
TEST_00087,0.39293946251231676
TEST_00088,0.1484712823774057
TEST_00089,0.3839580607245963
TEST_00090,0.25190462597044555
TEST_00091,0.10104038060711862
TEST_00092,0.3516706865642814
TEST_00093,0.5396185368908917
TEST_00094,0.0005058480199730972
TEST_00095,0.0012956449756189147
TEST_00096,0.44773415371971864
TEST_00097,0.12240935390050005
TEST_00098,0.36372199529397525
TEST_00099,0.2804779124484129
TEST_00100,0.0797196033012183
TEST_00101,0.1867366405904482
TEST_00102,0.3710715450510086
TEST_00103,0.3036642688302006
TEST_00104,0.37324501053561704
TEST_00105,0.4759851603442567
TEST_00106,0.24913672900749814
TEST_00107,0.0021642761977911868
TEST_00108,0.3383089732585249
TEST_00109,0.001440204285921332
TEST_00110,0.3916836380143023
TEST_00111,0.38395248564386575
TEST_00112,0.04650806828751922
TEST_00113,0.36731718277506265
TEST_00114,0.10630988606534529
TEST_00115,0.3849967833440355
TEST_00116,0.0024214389321102745
TEST_00117,0.45787976810367803
TEST_00118,0.3427134240871606
TEST_00119,0.1527204467539942
TEST_00120,0.0018417743557797427
TEST_00121,0.0020311889617536465
TEST_00122,0.32118146023773014
TEST_00123,0.4948262173128144
TEST_00124,0.4057882133079749
TEST_00125,0.2553551519975792
TEST_00126,0.006320889862525344
TEST_00127,0.07820504674849739
TEST_00128,0.288021825809041
TEST_00129,0.4021872969550815
TEST_00130,0.23714220437203515
TEST_00131,0.39727276057233196
TEST_00132,0.0020105182783584303
TEST_00133,0.26683485625459824
TEST_00134,0.3832383590458864
TEST_00135,0.002843732179114916
TEST_00136,0.19024786435624969
TEST_00137,0.2561356141786532
TEST_00138,0.0847995885029831
TEST_00139,0.25538009673148826
TEST_00140,0.04265435615200066
TEST_00141,0.0027084751087611586
TEST_00142,0.30602675781621713
TEST_00143,0.003175374818673619
TEST_00144,0.14899340861544597
TEST_00145,0.4337761429260533
TEST_00146,0.14642474078470408
TEST_00147,0.21778168911187745
TEST_00148,0.23270521797397506
TEST_00149,0.4299687238534941
TEST_00150,0.0021053641373661646
TEST_00151,0.0010511833521255245
TEST_00152,0.430463855663459
TEST_00153,0.3156263196952786
TEST_00154,0.030220760299834636
TEST_00155,0.22759186975955442
TEST_00156,0.4233421479131842
TEST_00157,0.33098933816309595
TEST_00158,0.41243976750752265
TEST_00159,0.32524828166386205
TEST_00160,0.4097696197413376
TEST_00161,0.47028640509979486
TEST_00162,0.33013206769084036
TEST_00163,0.005109224144685007
TEST_00164,0.5121167910705546
TEST_00165,0.2109579764231064
TEST_00166,0.3538966962400229
TEST_00167,0.21297883599833745
TEST_00168,0.37537042078300237
TEST_00169,0.1380353338075284
TEST_00170,0.20636168131078644
